"","src_username","dst_username","log_forward_time","cat_forward_time"
"1","casusbellilive","mimisramova",2.49276038902684,2.5
"2","casusbellilive","casusbellilive",6.34587557510986,6.5
"3","casusbellilive","casusbellilive",6.39613759963543,6.5
"4","casusbellilive","casusbellilive",7.10942059291759,7.5
"5","casusbellilive","MGzpravy",3.12904505988796,3.5
"6","casusbellilive","mimisramova",2.03342375548695,2.5
"7","casusbellilive","mimisramova",2.85186960072977,3
"8","casusbellilive","SvetKolemNas",4.60976510569274,5
"9","casusbellilive","SvetKolemNas",4.60976510569274,5
"10","casusbellilive","SvetKolemNas",4.60976510569274,5
"11","casusbellilive","investigativnyblogSK",3.84348194303996,4
"12","casusbellilive","jiznimorava",3.94767873993694,4
"13","casusbellilive","ksbspravy",4.06714527888539,4.5
"14","casusbellilive","mimisramova",2.65513843481138,3
"15","casusbellilive","investigativnyblogSK",3.46864266839151,3.5
"16","casusbellilive","mimisramova",2.8842287696326,3
"17","casusbellilive","mimisramova",2.68484536164441,3
"18","casusbellilive","mimisramova",2.3541084391474,2.5
"19","casusbellilive","smebratia",2.68033551341456,3
"20","casusbellilive","mimisramova",2.44870631990508,2.5
"21","casusbellilive","mimisramova",1.72427586960079,2
"22","casusbellilive","mimisramova",2.34830486304816,2.5
"23","casusbellilive","SvetKolemNas",4.25185713727142,4.5
"24","casusbellilive","mimisramova",2.42488163663107,2.5
"25","casusbellilive","mimisramova",1.34242268082221,1.5
"26","casusbellilive","mimisramova",2.94743372188705,3
"27","casusbellilive","mimisramova",2.65417654187796,3
"28","casusbellilive","mimisramova",2.65417654187796,3
"29","casusbellilive","mimisramova",2.65417654187796,3
"30","casusbellilive","mimisramova",3.06445798922692,3.5
"31","casusbellilive","mimisramova",4.03830217219952,4.5
"32","casusbellilive","mimisramova",4.03826240710478,4.5
"33","casusbellilive","mimisramova",4.03830217219952,4.5
"34","casusbellilive","mimisramova",4.03830217219952,4.5
"35","casusbellilive","mimisramova",4.00633766037455,4.5
"36","casusbellilive","mimisramova",3.96227460462331,4
"37","casusbellilive","mimisramova",3.48415742436538,3.5
"38","casusbellilive","mimisramova",2.68752896121463,3
"39","casusbellilive","mimisramova",2.83632411570675,3
"40","casusbellilive","ksbspravy",3.28847280059978,3.5
"41","casusbellilive","investigativnyblogSK",2.83314711191279,3
"42","casusbellilive","mimisramova",2.01283722470517,2.5
"43","casusbellilive","mimisramova",1.75587485567249,2
"44","casusbellilive","investigativnyblogSK",3.01410032151962,3.5
"45","casusbellilive","mimisramova",3.22219604630172,3.5
"46","casusbellilive","investigativnyblogSK",3.01410032151962,3.5
"47","casusbellilive","mimisramova",3.22219604630172,3.5
"48","casusbellilive","investigativnyblogSK",2.02118929906994,2.5
"49","casusbellilive","investigativnyblogSK",3.50297305906563,4
"50","casusbellilive","MGzpravy",5.28654403839881,5.5
"51","casusbellilive","mimisramova",1.6232492903979,2
"52","casusbellilive","aliancenarodnichsil",4.0334639660774,4.5
"53","casusbellilive","mimisramova",2.19312459835446,2.5
"54","casusbellilive","aliancenarodnichsil",4.0334639660774,4.5
"55","casusbellilive","mimisramova",2.19312459835446,2.5
"56","casusbellilive","aliancenarodnichsil",4.0334639660774,4.5
"57","casusbellilive","mimisramova",2.19312459835446,2.5
"58","casusbellilive","aliancenarodnichsil",4.0334639660774,4.5
"59","casusbellilive","mimisramova",2.19312459835446,2.5
"60","casusbellilive","aliancenarodnichsil",4.03350417294517,4.5
"61","casusbellilive","mimisramova",2.19312459835446,2.5
"62","casusbellilive","aliancenarodnichsil",4.03350417294517,4.5
