"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA494","F09FA4B7","other"
129490,124,0,35,7,0,1,0,0,1
133060,124,0,50,0,0,0,1,0,0
139481,124,0,3,0,0,6,0,0,0
114766,123,0,0,0,0,0,0,0,0
116879,123,0,11,0,0,0,4,0,0
126245,123,0,19,0,0,0,0,0,0
129858,123,0,18,1,0,0,0,0,0
136045,123,0,12,5,0,0,14,0,0
136738,123,0,13,3,0,0,0,1,1
137817,123,3,25,7,0,0,0,0,0
139355,123,0,3,1,0,0,0,0,0
142287,123,0,0,15,0,2,1,0,32
149785,123,0,10,1,0,0,0,0,0
112133,122,0,16,30,0,0,0,0,2
116090,122,0,0,4,0,0,24,0,0
117592,122,0,18,12,0,0,0,0,0
118099,122,0,0,0,4,0,0,0,0
118704,122,0,5,8,0,0,5,0,21
125545,122,0,7,7,0,0,0,0,19
132818,122,0,0,0,0,0,0,0,0
134139,122,0,5,30,0,1,0,0,0
146481,122,0,0,12,0,0,0,0,0
117689,121,17,30,0,0,0,1,0,0
125729,121,0,6,4,0,4,11,0,0
131070,121,0,56,8,0,0,0,0,0
131634,121,0,18,13,0,0,0,0,0
135486,121,0,43,4,0,0,0,0,0
136043,121,0,5,0,0,1,0,0,0
148956,121,3,30,0,1,0,0,0,0
149592,121,0,20,7,0,0,2,0,0
117872,120,0,11,0,0,0,0,0,0
118133,120,0,18,0,0,0,0,0,0
118899,120,0,14,31,0,0,0,0,0
120411,120,0,25,4,0,0,3,0,0
120446,120,0,32,0,0,0,0,0,0
122637,120,0,12,0,0,0,0,0,0
132916,120,1,4,10,0,19,0,0,4
133224,120,0,7,0,0,0,0,0,0
141494,120,0,24,20,0,3,0,0,1
142645,120,0,29,0,0,0,0,0,2
142745,120,1,3,27,0,2,0,0,2
144447,120,1,0,2,0,0,4,0,0
145383,120,0,10,5,0,0,0,0,0
112207,119,0,7,29,0,0,0,0,0
113359,119,0,5,0,0,0,0,0,0
114046,119,0,23,0,0,0,0,0,0
116480,119,0,5,18,0,0,0,0,0
118175,119,0,8,0,0,5,0,0,2
118294,119,0,5,0,0,0,0,0,14
124212,119,0,22,4,1,1,9,0,0
125489,119,1,0,31,0,2,22,0,0
125864,119,0,16,8,0,0,0,0,0
125956,119,0,19,0,0,0,1,0,0
