"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F998F","F09F918C","F09F958A","F09F9988","F09FA4AF","F09F98A1","F09FA4B7","other"
65486,601,0,1,59,0,42,0,3,0,2,0,0,0,2,0,0,0,0,0,1
56756,600,1,0,39,0,79,0,0,0,1,0,0,0,0,1,0,0,0,3,0
65635,597,3,0,15,0,76,0,0,0,0,13,0,0,16,0,0,0,0,0,0
69725,597,0,0,21,0,94,0,0,0,0,54,0,0,12,0,0,0,0,0,0
68195,596,0,0,64,0,40,1,0,0,0,0,0,15,0,0,0,0,0,0,0
53360,595,2,0,48,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61961,595,26,0,0,0,52,0,0,0,2,129,0,0,5,0,0,0,0,0,3
67209,594,9,0,50,0,6,0,0,0,2,43,0,0,0,0,0,0,0,0,0
53252,592,0,0,28,0,82,4,6,0,0,0,0,0,0,0,0,0,0,0,0
54472,591,0,0,124,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0
64059,590,0,1,31,0,104,0,0,0,0,0,0,0,8,4,0,0,0,0,1
61522,588,0,0,18,0,78,0,0,0,2,28,0,0,0,8,0,0,0,0,0
62636,588,0,0,0,0,75,1,0,0,0,4,0,0,2,0,0,0,0,0,2
65579,587,0,8,16,0,56,0,0,0,2,0,0,0,4,0,0,0,0,0,1
61350,586,0,1,84,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63585,586,0,0,151,0,44,0,0,0,0,10,0,0,3,22,0,0,0,0,1
64510,585,1,0,1,0,61,0,0,0,3,0,0,0,0,0,0,0,0,0,6
66869,585,98,0,33,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54859,584,0,0,21,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61123,584,9,0,14,0,52,11,0,0,10,0,0,0,0,0,0,0,0,0,0
62729,584,0,3,32,0,95,1,0,0,2,0,0,0,0,0,0,0,0,0,2
62790,584,0,5,3,3,67,0,5,0,12,6,0,0,0,0,0,0,0,0,4
59942,581,0,0,27,0,88,0,0,0,0,0,0,0,0,9,0,0,0,0,0
69718,581,2,0,74,0,0,0,4,0,0,0,0,7,0,0,5,0,0,0,0
56605,580,18,0,27,0,25,0,2,0,8,0,0,0,0,0,0,0,0,0,0
66697,579,0,0,2,0,25,0,6,0,5,48,0,0,0,0,0,0,0,0,0
53530,578,0,0,28,0,66,0,0,0,4,0,0,0,0,0,0,0,0,0,0
54528,578,1,0,34,0,12,1,3,0,7,0,0,0,0,0,0,0,0,0,0
55745,577,0,0,48,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0
60332,575,2,0,95,0,34,0,4,0,0,0,0,0,0,59,0,0,0,0,0
54488,571,1,0,10,0,46,14,0,0,6,0,0,0,0,0,0,0,0,0,0
65957,571,111,0,3,0,32,2,0,0,6,0,0,0,0,0,0,0,0,0,0
52867,570,4,0,43,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0
61157,570,13,0,2,0,26,0,0,0,0,61,0,0,0,0,0,0,0,0,0
61634,570,5,9,100,0,43,4,0,1,5,0,0,0,0,0,0,0,0,0,0
63351,570,1,0,53,0,38,0,0,0,0,0,0,0,3,0,0,0,0,0,1
64900,570,0,1,64,0,18,0,0,0,1,6,0,0,0,0,0,0,0,0,2
54876,569,0,0,34,0,28,0,7,0,0,0,0,0,0,0,0,0,0,0,0
59876,569,5,0,14,0,62,0,0,5,0,0,0,0,0,0,0,0,0,0,0
54900,568,13,0,73,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0
55259,568,14,0,19,0,45,2,0,0,1,0,0,0,0,6,0,0,0,0,0
66704,567,0,0,29,0,82,0,0,0,2,18,0,0,0,0,0,0,0,0,0
55007,565,0,0,14,0,51,0,0,0,3,0,0,0,0,0,0,0,0,0,0
61091,565,0,6,18,0,53,0,0,0,1,32,1,0,0,0,0,0,0,0,0
64323,565,2,0,14,2,3,0,11,0,6,82,0,0,0,0,0,0,0,0,1
53395,564,0,0,0,0,9,1,71,0,0,0,0,0,0,0,0,0,0,2,0
62634,564,2,0,31,0,65,0,0,0,0,0,0,0,0,0,0,1,0,0,4
55699,563,0,0,50,0,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0
63733,562,0,0,11,0,5,0,0,0,0,64,0,0,6,0,0,0,0,0,1
58827,559,0,0,58,0,26,0,36,0,0,0,0,0,0,0,0,0,0,0,0
53492,558,0,0,5,0,6,4,14,0,0,0,0,0,0,0,0,0,0,0,0
59024,557,3,0,94,0,25,0,0,0,14,0,0,0,0,0,0,0,0,0,0
53124,555,2,0,36,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54420,555,0,0,119,0,10,1,0,0,0,0,0,0,0,25,0,0,0,0,0
58753,555,0,0,75,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61779,555,0,3,19,0,26,0,0,0,4,104,0,0,0,0,0,0,0,0,0
67387,555,0,0,14,0,10,0,4,0,0,63,0,0,0,0,0,0,0,0,2
62522,553,0,0,5,0,40,1,0,0,0,88,0,0,0,0,0,0,0,0,1
52911,552,7,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53367,552,0,0,6,0,61,4,23,0,0,0,0,0,0,0,0,0,0,0,0
55650,551,8,0,82,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54802,549,0,0,28,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58906,549,0,0,96,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66810,548,4,0,31,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53144,547,6,0,3,0,56,0,0,0,3,0,0,0,0,0,0,0,0,0,1
53717,547,1,0,20,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62165,547,3,0,1,0,1,2,33,0,2,16,0,0,0,0,0,0,0,0,1
64375,547,0,0,20,0,66,0,0,0,1,16,0,0,0,0,0,0,0,0,1
63064,546,3,0,12,0,45,5,2,0,0,8,0,0,0,0,0,0,0,0,1
53803,545,4,0,57,0,49,0,0,0,5,0,0,0,0,0,0,0,0,0,0
62598,545,6,0,129,0,60,0,0,0,3,0,0,0,7,0,0,0,0,0,6
56128,543,0,0,46,0,31,0,0,0,5,0,0,0,0,0,0,0,0,0,0
59230,542,0,0,75,0,51,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72411,542,2,0,34,0,23,0,0,0,0,10,0,0,0,0,0,0,0,0,0
58925,541,58,0,0,0,115,0,4,0,2,0,0,0,0,0,0,0,0,0,0
61971,541,1,0,33,0,0,0,3,0,0,43,0,0,2,18,0,0,0,0,1
65720,541,0,0,137,0,4,0,0,0,2,27,46,59,0,22,0,0,0,0,0
60329,540,3,0,73,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67341,539,5,1,40,0,108,0,0,0,0,7,0,0,3,0,0,0,0,0,0
54738,538,31,0,25,0,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0
