"lang_messeges","num_rows","sum_members","lang_messeges_abbr"
"RUSSIAN",396,80190348,"RUS"
"ENGLISH",267,26758720,"ENG"
"UKRAINIAN",60,12578921,"UKR"
"GERMAN",331,6473104,"GER"
"PERSIAN",4,1916660,"PER"
"SPANISH",12,932829,"SPA"
"CZECH",180,397561,"CZE"
"FRENCH",6,340806,"FRE"
"ITALIAN",6,321727,"ITA"
"UZBEK",2,216006,"UZB"
"Other",66,601984,"Oth"
