"lang_messeges","num_rows","sum_members","lang_messeges_abbr"
"CZECH",155,391171,"CZE"
"ENGLISH",5,5160,"ENG"
"SLOVAK",3,4821,"SLO"
"RUSSIAN",1,402,"RUS"
"Other",0,0,"Oth"
