"","src_username","dst_username","mean_forward_time","mode_forward_time","sd_forward_time","n_records"
"72","mimisramova","investigativnyblogSK",2.8686490348864,3,0.629221580486043,1180
"73","mimisramova","ksbspravy",3.31219575433394,4,0.894756841219271,20
"74","mimisramova","slovanskenoviny",2.95181205745759,4,0.921605051678067,225
"75","mimisramova","smebratia",2.98677598140462,4,0.790674764937979,606
"76","mimisramova","vsetkyspravy",3.23142830459701,4,1.01403341543123,345
"77","neCT24","MGzpravy",3.72396802654611,4,0.783776881523891,72
"78","neCT24","coNemateVedet",3.34065021875176,4,0.791746749623469,390
"79","neCT24","harabin",3.54085771322199,4,0.749409240354954,36
"80","neCT24","investigativnyblogSK",3.73398228906009,4,0.639714319065079,53
"81","neCT24","lianalaga",4.11658387052232,4,0.73160814829801,31
"82","neCT24","marsalMalinovskij",4.03300926918356,5,0.693100141111054,182
"83","neCT24","mimisramova",3.13900674440088,4,0.840198276291466,255
"84","neCT24","news_22_faraon",2.9821266830512,3,0.642393877988552,13
"85","neCT24","pravdavzdyvitazi",4.39817224384849,5,0.554242483400029,12
"86","neCT24","smebratia",3.71172649811658,4,0.828029492573114,21
"87","neCT24","tvsalingrad",3.71469208667269,4,0.843507144085327,46
"88","neCT24","uschovnacz",2.92870788638537,4,1.01402076288916,47
"89","neCT24","vsetkyspravy",3.090109047077,4,0.973189229198453,40
"90","news_22_faraon","coNemateVedet",2.7158319981593,4,0.710838343774962,15
"91","news_22_faraon","jarek53",2.76150403176888,3,0.884963470544251,29
"92","pravdavzdyvitazi","pravdavzdyvitazi",4.66067986545078,5,1.03756461176241,59
"93","pravdavzdyvitazi","slovanskenoviny",3.07784591186876,4,0.909003234181778,93
"94","pravdavzdyvitazi","smebratia",4.23391501981893,4,0.683154101155735,10
"95","s4illimati","smebratia",3.7105592369062,4,0.495264603962475,11
"96","slovanskenoviny","MGzpravy",4.20719710930637,5,0.515945027944289,352
"97","slovanskenoviny","lianalaga",4.04681833553532,5,0.693823793280013,16
"98","slovanskenoviny","pravdavzdyvitazi",3.00515507834801,4,0.8107557760255,1046
"99","slovanskenoviny","slovanskenoviny",5.96992666285575,7,0.811446489108043,143
"100","smebratia","ksbspravy",1.93260819050848,2,0.646497586977102,48
"101","smebratia","smebratia",5.04990138035324,6,1.54927959289442,11
"102","to_je_nas_svet","jarek53",3.22432608303858,3,0.990960858412222,23
"103","tvotv_sk","pravdavzdyvitazi",3.19066319279612,3,0.835585344070581,15
"104","tvsalingrad","MGzpravy",4.88723161251855,5,0.201064813901454,14
"105","tvsalingrad","coNemateVedet",2.77535028768902,3,0.790625951802429,10
"106","tvsalingrad","jarek53",4.14983269589737,5,0.652473485310942,36
"107","tvsalingrad","tvsalingrad",5.10533295917791,6,0.93572267195075,32
"108","uk100a","smebratia",3.62049847395147,4,0.78840965586397,89
"109","uschovnacz","jiznimorava",2.83605387069181,2,1.44065248686849,15
"110","veciverejne","mimisramova",2.83641439767237,3,0.701393683034634,67
"111","veciverejne","vsetkyspravy",4.29869478109564,5,0.523346165529329,16
"112","zemavek","harabin",3.45220182025685,4,0.842532093608848,88
"113","zemavek","investigativnyblogSK",3.57833768634507,4,0.589646895722867,32
"114","zemavek","mimisramova",2.9768235128763,3,0.78415570358576,241
"115","zemavek","smebratia",3.32444404513487,4,0.924340932347468,187
"116","zemavek","tvsalingrad",4.20413443916875,4,1.07428120183191,21
"117","zemavek","vsetkyspravy",3.60957876375946,4,0.852442127097142,22
"118","zemavek","zemavek",4.9132227112314,5,0.361380488332173,18
