"lang_messeges","num_rows","sum_members","lang_messeges_abbr"
"RUSSIAN",2503,105644194,"RUS"
"ENGLISH",3916,57252905,"ENG"
"GERMAN",7400,25675689,"GER"
"UKRAINIAN",443,16457745,"UKR"
"SPANISH",162,2315254,"SPA"
"PERSIAN",28,2005304,"PER"
"ITALIAN",148,1311443,"ITA"
"POLISH",800,1002861,"POL"
"FRENCH",94,915778,"FRE"
"SLOVAK",366,745350,"SLO"
"Other",1889,4535537,"Oth"
